C1	29.00	14.50	180.00	100n	C0603
C4	15.00	7.00	270.00	10u	C0805
IC2	25.00	8.50	270.00	74HC174D	SO16
R1	7.50	45.00	90.00	470	R0603
R100	45.90	9.20	0.00	470	R0603
R109	16.40	10.50	90.00	75k	R0603
R21	16.50	40.50	90.00		R0603
R22	25.50	40.50	90.00		R0603
R23	34.50	40.50	90.00		R0603
R24	39.00	40.50	90.00		R0603
R30	7.50	36.00	90.00		R0603
R31	16.50	36.00	90.00		R0603
R32	25.50	36.00	90.00		R0603
R33	34.50	36.00	90.00		R0603
R34	39.00	36.00	90.00		R0603
R41	7.50	31.50	90.00		R0603
R42	12.00	31.50	90.00		R0603
R43	16.50	31.50	90.00		R0603
R44	21.00	31.50	90.00		R0603
R45	25.50	31.50	90.00		R0603
R46	34.50	31.50	90.00		R0603
R47	39.00	31.50	90.00		R0603
R56	7.50	27.00	90.00		R0603
R57	16.50	27.00	90.00		R0603
R58	25.50	27.00	90.00		R0603
R59	30.00	27.00	90.00		R0603
R60	34.50	27.00	90.00		R0603
R61	39.00	27.00	90.00		R0603
R62	52.50	26.50	90.00		R0603
R63	58.20	25.30	90.00		R0603
R64	69.50	25.70	90.00		R0603
R65	84.00	27.00	90.00		R0603
R66	3.00	22.50	90.00		R0603
R67	7.50	22.50	90.00		R0603
R68	16.50	22.50	90.00		R0603
R69	25.50	22.50	90.00		R0603
R70	33.70	22.30	90.00		R0603
R71	39.00	22.50	90.00		R0603
R72	48.00	22.50	90.00		R0603
R73	52.50	22.50	90.00		R0603
R74	61.50	22.50	90.00		R0603
R75	66.00	22.50	90.00		R0603
R77	84.00	22.50	90.00		R0603
R78	3.00	18.00	90.00		R0603
R79	7.50	18.00	90.00		R0603
R80	12.00	18.00	90.00		R0603
R81	17.10	18.00	90.00		R0603
R82	21.00	18.00	90.00		R0603
R83	25.50	18.00	90.00		R0603
R84	30.00	18.00	90.00		R0603
R85	32.80	17.40	90.00		R0603
R86	37.60	17.40	90.00		R0603
R87	45.10	17.60	90.00		R0603
R88	48.00	18.00	90.00		R0603
R89	52.50	18.00	90.00		R0603
R90	57.00	18.00	90.00		R0603
R91	61.50	18.00	90.00		R0603
R92	66.00	18.00	90.00		R0603
R93	70.50	18.00	90.00		R0603
R94	75.00	18.00	90.00		R0603
R95	79.50	18.00	90.00		R0603
R96	14.50	14.00	90.00	75k	R0603
R97	14.50	10.50	90.00	75k	R0603
R98	33.50	12.20	0.00	470	R0603
R99	40.00	12.40	90.00	470	R0603
